tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
iter 99: loss 8.1986, time 12913.13ms, mfu 10.43%
iter 100: loss 7.9262, time 12907.85ms, mfu 10.43%
iter 101: loss 7.9696, time 12909.72ms, mfu 10.43%
iter 102: loss 7.6309, time 12911.87ms, mfu 10.43%
iter 103: loss 7.5913, time 12914.21ms, mfu 10.43%
iter 104: loss 7.9742, time 12914.33ms, mfu 10.43%
iter 105: loss 7.8974, time 12910.98ms, mfu 10.43%
iter 106: loss 7.8607, time 12915.26ms, mfu 10.43%
iter 107: loss 7.9931, time 12911.28ms, mfu 10.43%
iter 108: loss 7.5942, time 12910.13ms, mfu 10.43%
iter 109: loss 7.8101, time 12909.00ms, mfu 10.43%
iter 110: loss 7.7727, time 12912.91ms, mfu 10.43%
iter 111: loss 7.9030, time 12909.82ms, mfu 10.43%
iter 112: loss 7.8020, time 12910.54ms, mfu 10.43%
iter 113: loss 7.9649, time 12913.11ms, mfu 10.43%
iter 114: loss 7.6027, time 12921.66ms, mfu 10.43%
iter 115: loss 7.9871, time 12911.69ms, mfu 10.43%
iter 116: loss 7.6286, time 12912.79ms, mfu 10.43%
iter 117: loss 7.8284, time 12908.79ms, mfu 10.43%
iter 118: loss 7.5212, time 12915.45ms, mfu 10.43%
iter 119: loss 7.8615, time 12915.10ms, mfu 10.43%
iter 120: loss 7.4513, time 12913.93ms, mfu 10.43%
iter 121: loss 7.3352, time 12916.62ms, mfu 10.43%
iter 122: loss 7.5923, time 12913.79ms, mfu 10.43%
iter 123: loss 7.3108, time 12913.50ms, mfu 10.43%
iter 124: loss 7.7864, time 12910.94ms, mfu 10.43%
iter 125: loss 7.2943, time 12911.17ms, mfu 10.43%
iter 126: loss 7.5017, time 12908.12ms, mfu 10.43%
iter 127: loss 7.5814, time 12908.96ms, mfu 10.43%
iter 128: loss 7.4945, time 12909.39ms, mfu 10.43%
iter 129: loss 7.4698, time 12909.26ms, mfu 10.43%
iter 130: loss 7.3126, time 12912.03ms, mfu 10.43%
iter 131: loss 7.1492, time 12913.15ms, mfu 10.43%
iter 132: loss 7.2592, time 12914.44ms, mfu 10.43%
iter 133: loss 7.1657, time 12914.83ms, mfu 10.43%
iter 134: loss 7.7182, time 12915.00ms, mfu 10.43%
iter 135: loss 7.4503, time 12917.94ms, mfu 10.43%
iter 136: loss 7.3691, time 12912.33ms, mfu 10.43%
iter 137: loss 7.2155, time 12914.42ms, mfu 10.43%
iter 138: loss 7.1625, time 12910.81ms, mfu 10.43%
iter 139: loss 7.0496, time 12910.26ms, mfu 10.43%
iter 140: loss 7.2454, time 12914.81ms, mfu 10.43%
iter 141: loss 7.2839, time 12910.94ms, mfu 10.43%
iter 142: loss 7.1076, time 12913.49ms, mfu 10.43%
iter 143: loss 7.2843, time 12913.58ms, mfu 10.43%
iter 144: loss 7.2540, time 12909.31ms, mfu 10.43%
iter 145: loss 6.8974, time 12914.75ms, mfu 10.43%
iter 146: loss 7.2363, time 12923.04ms, mfu 10.43%
iter 147: loss 7.4178, time 12910.33ms, mfu 10.43%
iter 148: loss 7.0581, time 12907.46ms, mfu 10.43%
iter 149: loss 7.0065, time 12912.38ms, mfu 10.43%
iter 150: loss 7.1953, time 12911.27ms, mfu 10.43%
iter 151: loss 7.0115, time 12910.55ms, mfu 10.43%
iter 152: loss 7.2590, time 12916.59ms, mfu 10.43%
iter 153: loss 7.0633, time 12917.41ms, mfu 10.43%
iter 154: loss 7.1219, time 12918.25ms, mfu 10.43%
iter 155: loss 7.0838, time 12916.46ms, mfu 10.43%
iter 156: loss 6.9562, time 12916.03ms, mfu 10.43%
iter 157: loss 7.1278, time 12912.00ms, mfu 10.43%
iter 158: loss 7.0099, time 12921.70ms, mfu 10.43%
iter 159: loss 6.9669, time 12916.59ms, mfu 10.43%
iter 160: loss 6.7082, time 12912.00ms, mfu 10.43%
iter 161: loss 6.8145, time 13034.47ms, mfu 10.42%
iter 162: loss 7.1141, time 13059.47ms, mfu 10.41%
iter 163: loss 6.6915, time 12915.14ms, mfu 10.41%
iter 164: loss 6.9576, time 12912.32ms, mfu 10.41%
iter 165: loss 6.7538, time 12911.70ms, mfu 10.41%
iter 166: loss 6.6686, time 12916.70ms, mfu 10.41%
iter 167: loss 6.6075, time 12917.12ms, mfu 10.41%
iter 168: loss 7.1160, time 12914.91ms, mfu 10.42%
iter 169: loss 7.4023, time 12918.34ms, mfu 10.42%
iter 170: loss 6.9571, time 12913.07ms, mfu 10.42%
iter 171: loss 7.0146, time 12916.05ms, mfu 10.42%
iter 172: loss 6.8980, time 12919.75ms, mfu 10.42%
iter 173: loss 6.8073, time 12919.60ms, mfu 10.42%
iter 174: loss 6.8477, time 12915.29ms, mfu 10.42%
iter 175: loss 6.8198, time 12918.53ms, mfu 10.42%
iter 176: loss 6.8325, time 12915.92ms, mfu 10.42%
iter 177: loss 6.9836, time 12919.00ms, mfu 10.42%
iter 178: loss 6.5839, time 12914.05ms, mfu 10.42%
iter 179: loss 7.2551, time 12918.04ms, mfu 10.42%
iter 180: loss 6.6127, time 12915.09ms, mfu 10.42%
iter 181: loss 6.7501, time 12916.61ms, mfu 10.42%
iter 182: loss 6.8015, time 12913.07ms, mfu 10.42%
iter 183: loss 6.9886, time 12918.28ms, mfu 10.42%
iter 184: loss 6.6612, time 12915.82ms, mfu 10.42%
iter 185: loss 6.8943, time 12914.65ms, mfu 10.42%
iter 186: loss 6.6671, time 12917.15ms, mfu 10.42%
iter 187: loss 7.1951, time 12920.34ms, mfu 10.42%
iter 188: loss 6.5643, time 12914.11ms, mfu 10.42%
iter 189: loss 6.9407, time 12914.86ms, mfu 10.42%
iter 190: loss 6.5486, time 12913.20ms, mfu 10.42%
iter 191: loss 7.0127, time 12927.79ms, mfu 10.42%
iter 192: loss 7.1744, time 12916.65ms, mfu 10.42%
iter 193: loss 6.3535, time 12914.48ms, mfu 10.42%
iter 194: loss 6.8613, time 12924.81ms, mfu 10.42%
iter 195: loss 6.8952, time 12929.01ms, mfu 10.42%
iter 196: loss 6.7155, time 12912.45ms, mfu 10.42%
iter 197: loss 6.9374, time 12915.43ms, mfu 10.42%
iter 198: loss 6.2446, time 12914.55ms, mfu 10.42%
iter 199: loss 6.5212, time 12922.77ms, mfu 10.42%
iter 200: loss 6.4595, time 12916.34ms, mfu 10.42%
iter 201: loss 6.6712, time 12920.61ms, mfu 10.42%
iter 202: loss 6.5134, time 12919.94ms, mfu 10.42%
iter 203: loss 6.6637, time 12927.73ms, mfu 10.42%
iter 204: loss 6.5016, time 12918.42ms, mfu 10.42%
iter 205: loss 6.6339, time 12925.73ms, mfu 10.42%
iter 206: loss 6.7071, time 12920.48ms, mfu 10.42%
iter 207: loss 6.3451, time 12918.81ms, mfu 10.42%
iter 208: loss 6.6826, time 12919.06ms, mfu 10.42%
iter 209: loss 6.5777, time 12916.22ms, mfu 10.42%
iter 210: loss 6.4680, time 12917.14ms, mfu 10.42%
iter 211: loss 6.5907, time 12917.63ms, mfu 10.42%
iter 212: loss 6.6013, time 12916.77ms, mfu 10.42%
iter 213: loss 6.5497, time 12918.11ms, mfu 10.42%
iter 214: loss 6.4666, time 12919.58ms, mfu 10.42%
iter 215: loss 6.2968, time 12919.55ms, mfu 10.42%
iter 216: loss 6.3015, time 12922.62ms, mfu 10.42%
iter 217: loss 6.5215, time 12918.72ms, mfu 10.42%
iter 218: loss 6.7932, time 12917.06ms, mfu 10.42%
iter 219: loss 6.5667, time 12919.30ms, mfu 10.42%
iter 220: loss 6.8575, time 12919.73ms, mfu 10.42%
iter 221: loss 6.4733, time 12919.15ms, mfu 10.42%
iter 222: loss 6.6414, time 12919.80ms, mfu 10.42%
iter 223: loss 6.6353, time 12918.76ms, mfu 10.42%
iter 224: loss 6.5397, time 12917.88ms, mfu 10.42%
iter 225: loss 6.4002, time 12917.72ms, mfu 10.42%
iter 226: loss 6.2226, time 12916.65ms, mfu 10.42%
iter 227: loss 6.5675, time 12919.05ms, mfu 10.42%
iter 228: loss 6.5874, time 12915.56ms, mfu 10.42%
iter 229: loss 6.3597, time 12916.77ms, mfu 10.42%
iter 230: loss 6.5203, time 12916.16ms, mfu 10.42%
iter 231: loss 6.4949, time 12918.46ms, mfu 10.42%
iter 232: loss 6.3434, time 12922.88ms, mfu 10.42%
iter 233: loss 6.2892, time 12918.78ms, mfu 10.42%
iter 234: loss 6.5260, time 12919.03ms, mfu 10.42%
iter 235: loss 6.4826, time 12921.94ms, mfu 10.42%
iter 236: loss 6.2198, time 12918.20ms, mfu 10.42%
iter 237: loss 6.4459, time 12915.18ms, mfu 10.42%
iter 238: loss 6.3072, time 12921.99ms, mfu 10.42%
iter 239: loss 6.5260, time 12919.46ms, mfu 10.42%
iter 240: loss 6.5620, time 12917.89ms, mfu 10.42%
iter 241: loss 6.6710, time 12921.63ms, mfu 10.42%
iter 242: loss 6.2465, time 12918.28ms, mfu 10.42%
iter 243: loss 6.0811, time 12925.90ms, mfu 10.42%
iter 244: loss 6.3073, time 12920.50ms, mfu 10.42%
iter 245: loss 6.3500, time 12922.04ms, mfu 10.42%
iter 246: loss 6.2432, time 12922.74ms, mfu 10.42%
iter 247: loss 6.3676, time 12921.26ms, mfu 10.42%
iter 248: loss 6.2595, time 12917.36ms, mfu 10.42%
iter 249: loss 6.5344, time 12918.44ms, mfu 10.42%
iter 250: loss 6.4349, time 12919.73ms, mfu 10.42%
iter 251: loss 6.1534, time 12920.64ms, mfu 10.42%
iter 252: loss 6.1876, time 12922.09ms, mfu 10.42%
iter 253: loss 6.5688, time 12923.03ms, mfu 10.42%
iter 254: loss 6.2305, time 12919.18ms, mfu 10.42%
iter 255: loss 6.2662, time 12919.05ms, mfu 10.42%
iter 256: loss 6.0533, time 12919.38ms, mfu 10.42%
iter 257: loss 6.2724, time 12922.68ms, mfu 10.42%
iter 258: loss 6.4871, time 12921.42ms, mfu 10.42%
iter 259: loss 6.3342, time 12918.25ms, mfu 10.42%
iter 260: loss 6.3194, time 12921.56ms, mfu 10.42%
iter 261: loss 6.1048, time 12918.05ms, mfu 10.42%
iter 262: loss 6.1244, time 12919.21ms, mfu 10.42%
iter 263: loss 6.2113, time 12922.44ms, mfu 10.42%
iter 264: loss 6.0376, time 12920.34ms, mfu 10.42%
iter 265: loss 6.5807, time 12923.89ms, mfu 10.42%
iter 266: loss 6.1866, time 12923.00ms, mfu 10.42%
iter 267: loss 6.0324, time 12922.05ms, mfu 10.42%
iter 268: loss 6.0579, time 12921.98ms, mfu 10.42%
iter 269: loss 6.4184, time 12918.67ms, mfu 10.42%
iter 270: loss 6.2931, time 12920.00ms, mfu 10.42%
iter 271: loss 6.2126, time 12922.55ms, mfu 10.42%
iter 272: loss 6.3012, time 12918.31ms, mfu 10.42%
iter 273: loss 6.4847, time 12917.03ms, mfu 10.42%
iter 274: loss 6.2602, time 12919.88ms, mfu 10.42%
iter 275: loss 6.2202, time 12918.21ms, mfu 10.42%
iter 276: loss 6.0434, time 12919.74ms, mfu 10.42%
iter 277: loss 6.0921, time 12919.54ms, mfu 10.42%
iter 278: loss 6.3071, time 12922.43ms, mfu 10.42%
iter 279: loss 6.3431, time 12917.80ms, mfu 10.42%
iter 280: loss 6.2002, time 12920.16ms, mfu 10.42%
iter 281: loss 6.3886, time 12923.39ms, mfu 10.42%
iter 282: loss 6.1816, time 12924.57ms, mfu 10.42%
iter 283: loss 6.2006, time 12925.39ms, mfu 10.42%
iter 284: loss 6.4526, time 12923.19ms, mfu 10.42%
iter 285: loss 5.9808, time 12919.89ms, mfu 10.42%
iter 286: loss 6.4418, time 12923.72ms, mfu 10.42%
iter 287: loss 6.2731, time 12928.87ms, mfu 10.42%
iter 288: loss 5.6963, time 12917.70ms, mfu 10.42%
iter 289: loss 5.9420, time 12918.24ms, mfu 10.42%
iter 290: loss 6.3924, time 12922.88ms, mfu 10.42%
iter 291: loss 6.0912, time 12933.38ms, mfu 10.42%
iter 292: loss 5.8587, time 12925.96ms, mfu 10.42%
iter 293: loss 6.1852, time 12924.06ms, mfu 10.42%
iter 294: loss 6.1045, time 12920.05ms, mfu 10.42%
iter 295: loss 6.1067, time 12922.11ms, mfu 10.42%
iter 296: loss 6.1536, time 12919.74ms, mfu 10.42%
iter 297: loss 5.9980, time 12924.47ms, mfu 10.42%
iter 298: loss 6.0299, time 12924.43ms, mfu 10.42%
iter 299: loss 6.1670, time 12932.61ms, mfu 10.42%
iter 300: loss 6.2671, time 12933.41ms, mfu 10.42%
iter 301: loss 6.1037, time 12932.07ms, mfu 10.42%
iter 302: loss 6.0166, time 12925.75ms, mfu 10.42%
iter 303: loss 6.1017, time 12932.00ms, mfu 10.42%
iter 304: loss 6.1856, time 12933.95ms, mfu 10.42%
iter 305: loss 6.2175, time 12930.35ms, mfu 10.42%
iter 306: loss 6.1539, time 12930.58ms, mfu 10.42%
iter 307: loss 6.0251, time 12921.14ms, mfu 10.42%
iter 308: loss 6.4198, time 12919.46ms, mfu 10.42%
iter 309: loss 6.0868, time 12919.87ms, mfu 10.42%
iter 310: loss 6.0017, time 12917.53ms, mfu 10.42%
iter 311: loss 6.3355, time 12922.18ms, mfu 10.42%
iter 312: loss 6.0368, time 12924.04ms, mfu 10.42%
iter 313: loss 6.2477, time 12920.71ms, mfu 10.42%
iter 314: loss 6.2392, time 12924.72ms, mfu 10.42%
iter 315: loss 6.6119, time 12921.59ms, mfu 10.42%
iter 316: loss 6.0831, time 12918.35ms, mfu 10.42%
iter 317: loss 6.0944, time 12922.97ms, mfu 10.42%
iter 318: loss 6.0770, time 12925.48ms, mfu 10.42%
iter 319: loss 6.2974, time 12925.75ms, mfu 10.42%
iter 320: loss 6.1249, time 12922.26ms, mfu 10.42%
iter 321: loss 5.9516, time 12920.26ms, mfu 10.42%
iter 322: loss 6.2318, time 12920.21ms, mfu 10.42%
iter 323: loss 6.0309, time 12923.14ms, mfu 10.42%
iter 324: loss 6.2136, time 12919.38ms, mfu 10.42%
iter 325: loss 6.0134, time 12930.81ms, mfu 10.42%
iter 326: loss 6.1493, time 12917.57ms, mfu 10.42%
iter 327: loss 6.3324, time 12921.47ms, mfu 10.42%
iter 328: loss 5.8567, time 12921.25ms, mfu 10.42%
iter 329: loss 6.1151, time 12922.25ms, mfu 10.42%
iter 330: loss 6.0990, time 12923.03ms, mfu 10.42%
iter 331: loss 5.9502, time 12922.91ms, mfu 10.42%
iter 332: loss 6.0281, time 12921.11ms, mfu 10.42%
iter 333: loss 6.3024, time 12923.87ms, mfu 10.42%
iter 334: loss 6.5044, time 12922.47ms, mfu 10.42%
iter 335: loss 5.9450, time 12928.49ms, mfu 10.42%
iter 336: loss 6.2756, time 12933.24ms, mfu 10.42%
iter 337: loss 6.0306, time 12935.14ms, mfu 10.42%
iter 338: loss 6.0242, time 12930.95ms, mfu 10.42%
iter 339: loss 6.1119, time 12925.01ms, mfu 10.42%
iter 340: loss 6.2706, time 12927.27ms, mfu 10.42%
iter 341: loss 6.9929, time 12924.45ms, mfu 10.42%
iter 342: loss 6.0931, time 12920.02ms, mfu 10.42%
iter 343: loss 5.8380, time 12920.57ms, mfu 10.42%
iter 344: loss 6.1507, time 12922.61ms, mfu 10.42%
iter 345: loss 6.0111, time 12917.64ms, mfu 10.42%
iter 346: loss 6.2237, time 12915.41ms, mfu 10.42%
iter 347: loss 5.5797, time 12921.96ms, mfu 10.42%
iter 348: loss 5.8231, time 12921.21ms, mfu 10.42%
iter 349: loss 5.8030, time 12919.34ms, mfu 10.42%
iter 350: loss 6.0088, time 12923.23ms, mfu 10.42%
iter 351: loss 6.0585, time 12919.03ms, mfu 10.42%
iter 352: loss 5.8526, time 12921.76ms, mfu 10.42%
iter 353: loss 6.1266, time 13092.38ms, mfu 10.41%
iter 354: loss 5.9472, time 12923.75ms, mfu 10.41%
iter 355: loss 5.7727, time 12921.44ms, mfu 10.41%
iter 356: loss 5.8414, time 12922.67ms, mfu 10.41%
iter 357: loss 6.1358, time 12921.05ms, mfu 10.41%
iter 358: loss 6.1183, time 12921.73ms, mfu 10.41%
iter 359: loss 6.1194, time 12926.27ms, mfu 10.41%
iter 360: loss 5.9839, time 12924.63ms, mfu 10.41%
iter 361: loss 5.8846, time 12919.92ms, mfu 10.41%
iter 362: loss 6.0724, time 12923.39ms, mfu 10.42%
iter 363: loss 5.9317, time 12920.81ms, mfu 10.42%
iter 364: loss 5.6731, time 12922.34ms, mfu 10.42%
iter 365: loss 5.9438, time 12923.47ms, mfu 10.42%
iter 366: loss 5.8112, time 12923.64ms, mfu 10.42%
iter 367: loss 6.1137, time 12922.69ms, mfu 10.42%
iter 368: loss 6.0097, time 12924.29ms, mfu 10.42%
iter 369: loss 5.8985, time 12925.38ms, mfu 10.42%
iter 370: loss 5.9347, time 12925.92ms, mfu 10.42%
iter 371: loss 6.0358, time 12928.92ms, mfu 10.42%
iter 372: loss 5.8241, time 12926.28ms, mfu 10.42%
iter 373: loss 5.6691, time 12926.31ms, mfu 10.42%
iter 374: loss 5.7720, time 12924.71ms, mfu 10.42%
iter 375: loss 6.2965, time 12925.05ms, mfu 10.42%
iter 376: loss 5.9641, time 12920.82ms, mfu 10.42%
iter 377: loss 5.8532, time 12926.01ms, mfu 10.42%
iter 378: loss 6.1083, time 12924.80ms, mfu 10.42%
iter 379: loss 6.0478, time 12923.08ms, mfu 10.42%
iter 380: loss 5.9982, time 12923.77ms, mfu 10.42%
iter 381: loss 5.8068, time 12925.81ms, mfu 10.42%
iter 382: loss 5.9305, time 12930.50ms, mfu 10.42%
iter 383: loss 5.8826, time 12922.25ms, mfu 10.42%
iter 384: loss 5.6614, time 12924.96ms, mfu 10.42%
iter 385: loss 5.8416, time 12925.49ms, mfu 10.42%
iter 386: loss 5.8342, time 13122.89ms, mfu 10.40%
iter 387: loss 5.8210, time 12925.89ms, mfu 10.40%
iter 388: loss 5.7933, time 12928.74ms, mfu 10.41%
iter 389: loss 5.8041, time 12922.19ms, mfu 10.41%
iter 390: loss 5.5912, time 12922.68ms, mfu 10.41%
iter 391: loss 5.7044, time 12924.07ms, mfu 10.41%
iter 392: loss 6.0344, time 12923.26ms, mfu 10.41%
iter 393: loss 5.9958, time 12925.96ms, mfu 10.41%
iter 394: loss 6.0178, time 12928.89ms, mfu 10.41%
iter 395: loss 5.7364, time 12925.68ms, mfu 10.41%
iter 396: loss 5.8091, time 12926.33ms, mfu 10.41%
iter 397: loss 5.8631, time 12929.59ms, mfu 10.41%
iter 398: loss 5.7758, time 12928.74ms, mfu 10.41%
iter 399: loss 5.6999, time 12926.17ms, mfu 10.41%
iter 400: loss 5.8074, time 12927.58ms, mfu 10.41%
iter 401: loss 5.7907, time 12923.88ms, mfu 10.41%
iter 402: loss 5.5202, time 12924.25ms, mfu 10.41%
iter 403: loss 5.8297, time 12926.08ms, mfu 10.42%
iter 404: loss 5.8719, time 12926.55ms, mfu 10.42%
iter 405: loss 6.1901, time 12926.87ms, mfu 10.42%
iter 406: loss 5.5872, time 12931.00ms, mfu 10.42%
iter 407: loss 5.7463, time 12921.04ms, mfu 10.42%
iter 408: loss 5.5900, time 12924.60ms, mfu 10.42%
iter 409: loss 5.3774, time 12924.09ms, mfu 10.42%
iter 410: loss 5.9087, time 12923.59ms, mfu 10.42%
iter 411: loss 5.9111, time 12929.07ms, mfu 10.42%
iter 412: loss 5.8585, time 12928.60ms, mfu 10.42%
iter 413: loss 5.6557, time 12927.02ms, mfu 10.42%
iter 414: loss 5.7520, time 12926.73ms, mfu 10.42%
iter 415: loss 5.8685, time 12927.79ms, mfu 10.42%
iter 416: loss 5.9593, time 12927.51ms, mfu 10.42%
iter 417: loss 5.7024, time 12928.01ms, mfu 10.42%
iter 418: loss 5.6234, time 12927.21ms, mfu 10.42%
iter 419: loss 5.5416, time 12927.59ms, mfu 10.42%
iter 420: loss 5.7158, time 12927.87ms, mfu 10.42%
iter 421: loss 6.1636, time 12926.43ms, mfu 10.42%
iter 422: loss 6.0675, time 12925.11ms, mfu 10.42%
iter 423: loss 6.0405, time 12926.57ms, mfu 10.42%
iter 424: loss 5.9202, time 12929.15ms, mfu 10.42%
iter 425: loss 5.7253, time 12929.12ms, mfu 10.42%
iter 426: loss 5.8122, time 12933.58ms, mfu 10.42%
iter 427: loss 5.7683, time 12927.66ms, mfu 10.42%
iter 428: loss 5.7024, time 12936.94ms, mfu 10.42%
iter 429: loss 5.7608, time 12929.05ms, mfu 10.42%
iter 430: loss 6.1520, time 12927.17ms, mfu 10.42%
iter 431: loss 5.9789, time 12929.57ms, mfu 10.42%
iter 432: loss 5.7055, time 12926.06ms, mfu 10.42%
iter 433: loss 5.6403, time 12929.92ms, mfu 10.42%
iter 434: loss 5.8500, time 12929.91ms, mfu 10.42%
iter 435: loss 6.0155, time 12926.24ms, mfu 10.42%
iter 436: loss 5.7223, time 12925.67ms, mfu 10.42%
iter 437: loss 5.7437, time 12928.42ms, mfu 10.42%
